BusinessDate,Strike,OptionType,ExpiryDate,InsertionSequence,GlobalSequence,RecordDateTime,LowerCircuitLimit,UpperCircuitLimit
2025-10-09,46500.00,PE,2025-10-28 00:00:00.0000000,6,0,2025-10-10 09:06:39.7987097,.05,28.95
2025-10-09,46500.00,PE,2026-06-30 00:00:00.0000000,6,0,2025-10-10 09:06:39.7987097,.05,782.65
2025-10-09,46500.00,PE,2026-03-31 00:00:00.0000000,6,0,2025-10-10 09:06:39.7987097,.05,408.55
2025-10-09,46500.00,PE,2026-03-31 00:00:00.0000000,7,0,2025-10-10 09:12:47.6170480,.05,408.55
2025-10-09,46500.00,PE,2026-06-30 00:00:00.0000000,7,0,2025-10-10 09:12:47.6170480,.05,782.65
2025-10-09,46500.00,PE,2025-10-28 00:00:00.0000000,7,0,2025-10-10 09:12:47.6170480,.05,28.95
2025-10-09,46500.00,PE,2026-09-29 00:00:00.0000000,7,0,2025-10-10 09:12:47.6170480,.05,1114.85
2025-10-09,46500.00,PE,2025-12-30 00:00:00.0000000,7,0,2025-10-10 09:12:47.6170480,.05,29.20
2025-10-09,46500.00,PE,2025-11-25 00:00:00.0000000,7,0,2025-10-10 09:12:47.6170480,.05,20.70
2025-10-09,47000.00,CE,2025-11-25 00:00:00.0000000,1,0,2025-10-10 08:38:26.0351625,8033.00,11089.10
2025-10-09,47000.00,CE,2025-12-30 00:00:00.0000000,1,0,2025-10-10 08:38:26.0351625,8328.60,11362.40
2025-10-09,47000.00,CE,2025-10-28 00:00:00.0000000,1,0,2025-10-10 08:38:26.0351625,7820.10,10879.90
2025-10-09,47000.00,CE,2025-10-28 00:00:00.0000000,2,0,2025-10-10 08:44:33.5513994,7820.10,10879.90
2025-10-09,47000.00,CE,2025-12-30 00:00:00.0000000,2,0,2025-10-10 08:44:33.5513994,8328.60,11362.40
2025-10-09,47000.00,CE,2025-11-25 00:00:00.0000000,2,0,2025-10-10 08:44:33.5513994,8033.00,11089.10
2025-10-09,47000.00,CE,2025-11-25 00:00:00.0000000,3,0,2025-10-10 08:49:54.0896798,8033.00,11089.10
2025-10-09,47000.00,CE,2025-12-30 00:00:00.0000000,3,0,2025-10-10 08:49:54.0896798,8328.60,11362.40
2025-10-09,47000.00,CE,2025-10-28 00:00:00.0000000,3,0,2025-10-10 08:49:54.0896798,7820.10,10879.90
2025-10-09,47000.00,CE,2025-10-28 00:00:00.0000000,4,0,2025-10-10 08:55:19.3957093,7820.10,10879.90
2025-10-09,47000.00,CE,2025-12-30 00:00:00.0000000,4,0,2025-10-10 08:55:19.3957093,8328.60,11362.40
2025-10-09,47000.00,CE,2025-11-25 00:00:00.0000000,4,0,2025-10-10 08:55:19.3957093,8033.00,11089.10
2025-10-09,47000.00,CE,2025-11-25 00:00:00.0000000,5,0,2025-10-10 09:00:44.0283264,8033.00,11089.10
2025-10-09,47000.00,CE,2025-12-30 00:00:00.0000000,5,0,2025-10-10 09:00:44.0283264,8328.60,11362.40
2025-10-09,47000.00,CE,2025-10-28 00:00:00.0000000,5,0,2025-10-10 09:00:44.0283264,7820.10,10879.90
2025-10-09,47000.00,CE,2025-10-28 00:00:00.0000000,6,0,2025-10-10 09:06:39.7987097,7820.10,10879.90
2025-10-09,47000.00,CE,2025-12-30 00:00:00.0000000,6,0,2025-10-10 09:06:39.7987097,8328.60,11362.40
2025-10-09,47000.00,CE,2025-11-25 00:00:00.0000000,6,0,2025-10-10 09:06:39.7987097,8033.00,11089.10
2025-10-09,47000.00,CE,2025-11-25 00:00:00.0000000,7,0,2025-10-10 09:12:47.6170480,8033.00,11089.10
2025-10-09,47000.00,CE,2025-12-30 00:00:00.0000000,7,0,2025-10-10 09:12:47.6170480,8328.60,11362.40
2025-10-09,47000.00,CE,2025-10-28 00:00:00.0000000,7,0,2025-10-10 09:12:47.6170480,7820.10,10879.90
2025-10-09,47000.00,PE,2025-10-28 00:00:00.0000000,1,0,2025-10-10 08:38:26.0351625,.05,29.55
2025-10-09,47000.00,PE,2025-12-30 00:00:00.0000000,1,0,2025-10-10 08:38:26.0351625,.05,35.25
2025-10-09,47000.00,PE,2025-11-25 00:00:00.0000000,1,0,2025-10-10 08:38:26.0351625,.05,37.40
2025-10-09,47000.00,PE,2025-11-25 00:00:00.0000000,2,0,2025-10-10 08:44:33.5513994,.05,37.40
2025-10-09,47000.00,PE,2025-12-30 00:00:00.0000000,2,0,2025-10-10 08:44:33.5513994,.05,35.25
2025-10-09,47000.00,PE,2025-10-28 00:00:00.0000000,2,0,2025-10-10 08:44:33.5513994,.05,29.55
2025-10-09,47000.00,PE,2025-10-28 00:00:00.0000000,3,0,2025-10-10 08:49:54.0896798,.05,29.55
2025-10-09,47000.00,PE,2025-12-30 00:00:00.0000000,3,0,2025-10-10 08:49:54.0896798,.05,35.25
2025-10-09,47000.00,PE,2025-11-25 00:00:00.0000000,3,0,2025-10-10 08:49:54.0896798,.05,37.40
2025-10-09,47000.00,PE,2025-11-25 00:00:00.0000000,4,0,2025-10-10 08:55:19.3957093,.05,37.40
2025-10-09,47000.00,PE,2025-12-30 00:00:00.0000000,4,0,2025-10-10 08:55:19.3957093,.05,35.25
2025-10-09,47000.00,PE,2025-10-28 00:00:00.0000000,4,0,2025-10-10 08:55:19.3957093,.05,29.55
2025-10-09,47000.00,PE,2025-10-28 00:00:00.0000000,5,0,2025-10-10 09:00:44.0283264,.05,29.55
